Date,Gm#,Home,Opp,Win,R,RA,Inn,W-L,Rank,GB,Time,Day Game,Attendance,cLI,Streak
2019-03-28,1,1,3,1,7,2,9.0,1,1,-1.0,186,1,46928.0,1.08,1
2019-03-30,2,1,3,0,3,5,9.0,0,3,0.5,204,1,42203.0,1.12,-1
2019-03-31,3,1,3,0,5,7,9.0,-1,4,1.5,228,1,38419.0,1.04,-2
2019-04-01,4,1,10,1,3,1,9.0,0,3,1.5,163,0,32036.0,0.91,1
2019-04-02,5,1,10,0,1,3,9.0,-1,3,2.5,161,0,32018.0,0.91,-1
2019-04-03,6,1,10,0,1,2,9.0,-2,4,2.5,157,1,33038.0,0.9,-2
2019-04-04,7,0,3,1,8,4,9.0,-1,3,2.0,207,1,44182.0,0.97,1
2019-04-06,8,0,3,1,6,4,9.0,0,2,1.5,222,0,27504.0,1.02,2
2019-04-07,9,0,3,1,15,3,9.0,1,2,1.5,185,1,33102.0,1.11,3
2019-04-08,10,0,11,0,3,4,9.0,0,2,2.5,179,0,27631.0,1.0,-1
2019-04-09,11,0,11,0,3,6,9.0,-1,2,3.5,195,0,31009.0,0.97,-2
2019-04-10,12,0,11,0,6,8,9.0,-2,2,4.5,210,0,27685.0,0.94,-3
2019-04-12,13,1,9,0,6,9,7.0,-3,2,5.5,163,0,40913.0,0.86,-4
2019-04-13,14,1,9,1,4,0,9.0,-2,2,4.5,148,1,41176.0,0.84,1
2019-04-14,15,1,9,0,2,5,9.0,-3,2,5.5,201,1,40104.0,0.85,-1
2019-04-16,16,1,4,1,8,0,9.0,-2,2,5.5,143,0,45008.0,0.88,1
2019-04-17,17,1,4,1,5,3,9.0,-1,2,5.5,176,0,44106.0,0.91,2
2019-04-18,18,1,12,0,1,6,9.0,-2,2,5.5,186,0,39106.0,0.88,-1
2019-04-19,19,1,12,1,6,2,9.0,-1,2,4.5,171,0,39668.0,0.85,1
2019-04-20,20,1,12,1,9,2,9.0,0,2,3.5,180,1,42013.0,0.89,2
2019-04-21,21,1,12,1,7,6,10.0,1,2,2.5,209,1,40523.0,0.97,3
2019-04-22,22,0,13,1,4,3,14.0,2,2,2.5,275,0,35403.0,1.01,4
2019-04-23,23,0,13,1,7,5,9.0,3,2,2.5,192,0,38016.0,1.05,5
2019-04-24,24,0,13,1,6,5,9.0,4,2,1.5,209,0,37928.0,1.09,6
2019-04-25,25,0,13,0,5,11,9.0,3,2,2.0,229,0,39584.0,1.11,-1
2019-04-26,26,0,25,1,7,3,9.0,4,2,1.5,206,0,34950.0,1.09,1
2019-04-27,27,0,25,1,6,4,9.0,5,2,1.5,155,1,33971.0,1.13,2
2019-04-28,28,0,25,1,11,5,9.0,6,2,1.5,196,1,34540.0,1.17,3
2019-04-30,29,0,1,0,1,3,9.0,5,2,2.5,153,0,36352.0,1.15,-1
2019-05-01,30,0,1,0,2,3,9.0,4,2,2.0,192,1,31365.0,1.11,-2
2019-05-03,31,1,17,1,6,3,9.0,5,2,2.5,188,0,35911.0,1.2,1
2019-05-04,32,1,17,0,3,7,9.0,4,2,2.5,186,1,43123.0,1.24,-1
2019-05-05,33,1,17,1,4,1,8.0,5,2,2.0,173,1,38603.0,1.18,1
2019-05-06,34,1,24,1,7,3,9.0,6,2,2.0,156,0,37423.0,1.2,2
2019-05-07,35,1,24,1,5,4,9.0,7,2,2.0,195,0,36851.0,1.23,3
2019-05-08,36,1,24,0,1,10,9.0,6,2,2.0,187,0,38774.0,1.29,-1
2019-05-09,37,1,24,1,3,1,9.0,7,2,1.5,174,0,37016.0,1.23,1
2019-05-10,38,0,27,1,4,3,9.0,8,2,0.5,185,0,20846.0,1.61,2
2019-05-11,39,0,27,0,2,7,9.0,7,2,1.5,174,0,25025.0,1.6,-1
2019-05-12,40,0,27,1,7,1,9.0,8,2,0.5,175,1,25025.0,1.56,1
2019-05-15,42,1,3,1,3,1,9.0,10,2,0.5,149,0,41138.0,1.27,3
2019-05-17,43,1,27,1,4,3,9.0,11,1,-0.5,188,0,41281.0,1.62,4
2019-05-18,44,1,27,0,1,2,11.0,10,2,0.5,219,1,43079.0,1.67,-1
2019-05-19,45,1,27,1,13,5,9.0,11,1,-0.5,207,1,43032.0,1.67,1
2019-05-20,46,0,3,1,10,7,9.0,12,1,-1.0,215,0,16457.0,1.29,2
2019-05-21,47,0,3,1,11,4,9.0,13,1,-2.0,169,0,17389.0,1.27,3
2019-05-22,48,0,3,1,7,5,9.0,14,1,-2.0,198,0,17849.0,1.25,4
2019-05-23,49,0,3,1,6,5,9.0,15,1,-2.0,182,1,30624.0,1.23,5
2019-05-25,51,0,12,1,6,5,9.0,17,1,-3.0,187,0,18599.0,1.18,7
2019-05-26,52,0,12,0,7,8,10.0,16,1,-2.0,197,1,21499.0,1.1,-1
2019-05-27,53,1,23,1,5,2,9.0,17,1,-2.0,160,1,46254.0,1.14,1
2019-05-28,54,1,23,0,4,5,9.0,16,1,-1.0,195,0,37028.0,1.12,-1
2019-05-29,55,1,23,1,7,0,9.0,17,1,-1.0,159,1,40918.0,1.15,1
2019-05-31,56,1,4,1,4,1,9.0,18,1,-1.5,171,0,45556.0,1.31,2
2019-06-01,57,1,4,1,5,3,9.0,19,1,-2.5,198,0,46307.0,1.24,3
2019-06-02,58,1,4,0,5,8,9.0,18,1,-2.5,210,0,40068.0,1.22,-1
2019-06-04,59,0,29,0,3,4,9.0,17,1,-2.5,180,0,20671.0,1.13,-2
2019-06-05,60,0,29,0,7,11,9.0,16,1,-1.5,202,0,16609.0,1.12,-3
2019-06-06,61,0,29,1,6,2,9.0,17,1,-1.5,187,0,25657.0,1.19,1
2019-06-07,62,0,7,0,2,5,9.0,16,1,-0.5,143,0,31531.0,1.2,-1
2019-06-08,63,0,7,0,4,8,9.0,15,1,0.0,159,1,32239.0,1.23,-2
2019-06-09,64,0,7,1,7,6,10.0,16,1,0.0,236,1,29028.0,1.26,1
2019-06-11,66,1,18,0,4,10,9.0,16,1,0.0,200,0,44698.0,1.13,-1
2019-06-13,67,0,9,0,4,5,9.0,15,1,-0.5,194,0,25311.0,1.24,-2
2019-06-14,68,0,9,0,2,10,9.0,14,2,0.5,182,0,31438.0,1.29,-3
2019-06-15,69,0,9,1,8,4,9.0,15,1,-0.5,207,0,36074.0,1.31,1
2019-06-16,70,0,9,1,10,3,9.0,16,1,-0.5,186,1,37277.0,1.33,2
